level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,3.0,400,188,0.470000,0.421607,0.518964,0.00000000,186.37
1,BPSK 1/4,awgn,6.0,400,5,0.012500,0.005351,0.028924,0.00000000,347.25
1,BPSK 1/4,awgn,9.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,12.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,15.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,18.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,21.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,24.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,27.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,30.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
2,BPSK 1/2,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,3.0,400,150,0.375000,0.328957,0.423421,0.00000000,443.22
2,BPSK 1/2,awgn,6.0,400,4,0.010000,0.003895,0.025427,0.00000000,702.07
2,BPSK 1/2,awgn,9.0,400,2,0.005000,0.001372,0.018045,0.00000000,705.61
2,BPSK 1/2,awgn,12.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,15.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,18.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,21.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,24.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,27.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,30.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
3,QPSK 1/2,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,3.0,400,170,0.425000,0.377494,0.473932,0.00000000,706.79
3,QPSK 1/2,awgn,6.0,400,2,0.005000,0.001372,0.018045,0.00000000,1223.06
3,QPSK 1/2,awgn,9.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
3,QPSK 1/2,awgn,12.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
3,QPSK 1/2,awgn,15.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
3,QPSK 1/2,awgn,18.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
3,QPSK 1/2,awgn,21.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
