level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-good,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-good,0.0,400,384,0.960000,0.936018,0.975231,0.00000000,14.07
1,BPSK 1/4,watterson-good,3.0,400,328,0.820000,0.779362,0.854550,0.00000000,63.30
1,BPSK 1/4,watterson-good,6.0,400,221,0.552500,0.503502,0.600499,0.00000000,157.36
1,BPSK 1/4,watterson-good,9.0,400,158,0.395000,0.348310,0.443687,0.00000000,212.75
1,BPSK 1/4,watterson-good,12.0,400,83,0.207500,0.170634,0.249931,0.00000000,278.68
1,BPSK 1/4,watterson-good,15.0,400,61,0.152500,0.120587,0.191024,0.00000000,298.02
1,BPSK 1/4,watterson-good,18.0,400,37,0.092500,0.067854,0.124899,0.00000000,319.12
1,BPSK 1/4,watterson-good,21.0,400,30,0.075000,0.053038,0.105048,0.00000000,325.27
1,BPSK 1/4,watterson-good,24.0,400,29,0.072500,0.050951,0.102182,0.00000000,326.15
1,BPSK 1/4,watterson-good,27.0,400,28,0.070000,0.048872,0.099309,0.00000000,327.03
1,BPSK 1/4,watterson-good,30.0,400,30,0.075000,0.053038,0.105048,0.00000000,325.27
2,BPSK 1/2,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-good,-3.0,400,398,0.995000,0.981955,0.998628,0.00000000,3.55
2,BPSK 1/2,watterson-good,0.0,400,380,0.950000,0.924036,0.967403,0.00000000,35.46
2,BPSK 1/2,watterson-good,3.0,400,324,0.810000,0.768676,0.845426,0.00000000,134.74
2,BPSK 1/2,watterson-good,6.0,400,215,0.537500,0.488514,0.585773,0.00000000,327.99
2,BPSK 1/2,watterson-good,9.0,400,147,0.367500,0.321721,0.415799,0.00000000,448.54
2,BPSK 1/2,watterson-good,12.0,400,79,0.197500,0.161443,0.239312,0.00000000,569.10
2,BPSK 1/2,watterson-good,15.0,400,52,0.130000,0.100531,0.166508,0.00000000,616.97
2,BPSK 1/2,watterson-good,18.0,400,34,0.085000,0.061463,0.116432,0.00000000,648.88
2,BPSK 1/2,watterson-good,21.0,400,26,0.065000,0.044740,0.093535,0.00000000,663.06
2,BPSK 1/2,watterson-good,24.0,400,25,0.062500,0.042689,0.090634,0.00000000,664.84
2,BPSK 1/2,watterson-good,27.0,400,26,0.065000,0.044740,0.093535,0.00000000,663.06
2,BPSK 1/2,watterson-good,30.0,400,29,0.072500,0.050951,0.102182,0.00000000,657.74
3,QPSK 1/2,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-good,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-good,0.0,400,392,0.980000,0.961037,0.989832,0.00000000,24.58
3,QPSK 1/2,watterson-good,3.0,400,342,0.855000,0.817117,0.886130,0.00000000,178.23
3,QPSK 1/2,watterson-good,6.0,400,281,0.702500,0.655945,0.745202,0.00000000,365.69
3,QPSK 1/2,watterson-good,9.0,400,196,0.490000,0.441339,0.538851,0.00000000,626.90
3,QPSK 1/2,watterson-good,12.0,400,142,0.355000,0.309689,0.403070,0.00000000,792.84
3,QPSK 1/2,watterson-good,15.0,400,122,0.305000,0.261913,0.351797,0.00000000,854.30
3,QPSK 1/2,watterson-good,18.0,400,101,0.252500,0.212417,0.297292,0.00000000,918.83
3,QPSK 1/2,watterson-good,21.0,400,96,0.240000,0.200746,0.284200,0.00000000,934.20
3,QPSK 1/2,watterson-good,24.0,400,80,0.200000,0.163737,0.241970,0.00000000,983.37
3,QPSK 1/2,watterson-good,27.0,400,88,0.220000,0.182174,0.263153,0.00000000,958.78
3,QPSK 1/2,watterson-good,30.0,400,84,0.210000,0.172938,0.252579,0.00000000,971.07
4,QPSK 3/4,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-good,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-good,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-good,3.0,400,397,0.992500,0.978184,0.997446,0.00000000,13.87
4,QPSK 3/4,watterson-good,6.0,400,384,0.960000,0.936018,0.975231,0.00000000,73.96
4,QPSK 3/4,watterson-good,9.0,400,347,0.867500,0.830754,0.897255,0.00012719,244.98
4,QPSK 3/4,watterson-good,12.0,400,312,0.780000,0.736847,0.817826,0.00000000,406.76
4,QPSK 3/4,watterson-good,15.0,400,313,0.782500,0.739487,0.820138,0.00000000,402.13
4,QPSK 3/4,watterson-good,18.0,400,270,0.675000,0.627624,0.719047,0.00000000,600.89
4,QPSK 3/4,watterson-good,21.0,400,254,0.635000,0.586744,0.680688,0.00000000,674.84
4,QPSK 3/4,watterson-good,24.0,400,246,0.615000,0.566435,0.661377,0.00000000,711.82
4,QPSK 3/4,watterson-good,27.0,400,240,0.600000,0.551259,0.646838,0.00000000,739.56
4,QPSK 3/4,watterson-good,30.0,400,245,0.612500,0.563903,0.658957,0.00000000,716.44
5,8PSK 2/3,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-good,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-good,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-good,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-good,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-good,9.0,400,391,0.977500,0.957797,0.988118,0.00000000,114.35
5,8PSK 2/3,watterson-good,12.0,400,293,0.732500,0.687059,0.773518,0.00000000,1359.53
5,8PSK 2/3,watterson-good,15.0,400,199,0.497500,0.448759,0.546289,0.00000000,2553.88
5,8PSK 2/3,watterson-good,18.0,400,95,0.237500,0.198418,0.281576,0.00000000,3875.29
5,8PSK 2/3,watterson-good,21.0,400,28,0.070000,0.048872,0.099309,0.00000000,4726.59
5,8PSK 2/3,watterson-good,24.0,400,7,0.017500,0.008502,0.035677,0.00000000,4993.41
5,8PSK 2/3,watterson-good,27.0,400,3,0.007500,0.002554,0.021816,0.00000000,5044.24
5,8PSK 2/3,watterson-good,30.0,400,1,0.002500,0.000441,0.014023,0.00000000,5069.65
6,16QAM 1/2,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-good,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-good,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-good,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-good,6.0,400,399,0.997500,0.985977,0.999559,0.00000000,11.39
6,16QAM 1/2,watterson-good,9.0,400,389,0.972500,0.951435,0.984576,0.00000000,125.27
6,16QAM 1/2,watterson-good,12.0,400,294,0.735000,0.689663,0.775866,0.00000000,1207.15
6,16QAM 1/2,watterson-good,15.0,400,157,0.392500,0.345887,0.441159,0.00000000,2767.34
6,16QAM 1/2,watterson-good,18.0,400,75,0.187500,0.152289,0.228656,0.00000000,3701.18
6,16QAM 1/2,watterson-good,21.0,400,20,0.050000,0.032597,0.075964,0.00000000,4327.53
6,16QAM 1/2,watterson-good,24.0,400,7,0.017500,0.008502,0.035677,0.00000000,4475.58
6,16QAM 1/2,watterson-good,27.0,400,1,0.002500,0.000441,0.014023,0.00000000,4543.91
6,16QAM 1/2,watterson-good,30.0,400,0,0.000000,0.000000,0.009512,0.00000000,4555.29
7,16QAM 3/4,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-good,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-good,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-good,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-good,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-good,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-good,12.0,400,396,0.990000,0.974573,0.996105,0.00096154,68.52
7,16QAM 3/4,watterson-good,15.0,400,362,0.905000,0.872292,0.930003,0.00000000,650.92
7,16QAM 3/4,watterson-good,18.0,400,286,0.715000,0.668880,0.757029,0.00002986,1952.75
7,16QAM 3/4,watterson-good,21.0,400,198,0.495000,0.446284,0.543811,0.00004040,3460.14
7,16QAM 3/4,watterson-good,24.0,400,125,0.312500,0.269042,0.359526,0.00001984,4710.59
7,16QAM 3/4,watterson-good,27.0,400,85,0.212500,0.175244,0.255226,0.00002167,5395.76
7,16QAM 3/4,watterson-good,30.0,400,62,0.155000,0.122833,0.193731,0.00001616,5789.74
9,64QAM 2/3,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-good,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-good,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-good,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-good,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-good,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-good,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-good,15.0,400,399,0.997500,0.985977,0.999559,0.00000000,16.94
9,64QAM 2/3,watterson-good,18.0,400,397,0.992500,0.978184,0.997446,0.00000000,50.82
9,64QAM 2/3,watterson-good,21.0,400,379,0.947500,0.921078,0.965408,0.00000000,355.76
9,64QAM 2/3,watterson-good,24.0,400,348,0.870000,0.833492,0.899469,0.00000000,880.94
9,64QAM 2/3,watterson-good,27.0,400,323,0.807500,0.766011,0.843139,0.00000000,1304.47
9,64QAM 2/3,watterson-good,30.0,400,319,0.797500,0.755374,0.833966,0.00000000,1372.24
10,64QAM 7/8,watterson-good,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,18.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,21.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,24.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,27.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-good,30.0,400,399,0.997500,0.985977,0.999559,0.00000000,22.17
