level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-moderate,-3.0,400,399,0.997500,0.985977,0.999559,0.00000000,0.88
1,BPSK 1/4,watterson-moderate,0.0,400,384,0.960000,0.936018,0.975231,0.00000000,14.07
1,BPSK 1/4,watterson-moderate,3.0,400,340,0.850000,0.811686,0.881655,0.00000000,52.75
1,BPSK 1/4,watterson-moderate,6.0,400,265,0.662500,0.614810,0.707098,0.00000000,118.68
1,BPSK 1/4,watterson-moderate,9.0,400,215,0.537500,0.488514,0.585773,0.00000000,162.64
1,BPSK 1/4,watterson-moderate,12.0,400,170,0.425000,0.377494,0.473932,0.00000000,202.20
1,BPSK 1/4,watterson-moderate,15.0,400,148,0.370000,0.324132,0.418341,0.00000000,221.54
1,BPSK 1/4,watterson-moderate,18.0,400,145,0.362500,0.316904,0.410711,0.00000000,224.18
1,BPSK 1/4,watterson-moderate,21.0,400,132,0.330000,0.285728,0.377506,0.00000000,235.60
1,BPSK 1/4,watterson-moderate,24.0,400,117,0.292500,0.250062,0.338886,0.00000000,248.79
1,BPSK 1/4,watterson-moderate,27.0,400,117,0.292500,0.250062,0.338886,0.00000000,248.79
1,BPSK 1/4,watterson-moderate,30.0,400,127,0.317500,0.273802,0.364670,0.00000000,240.00
2,BPSK 1/2,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-moderate,-3.0,400,398,0.995000,0.981955,0.998628,0.00000000,3.55
2,BPSK 1/2,watterson-moderate,0.0,400,381,0.952500,0.927008,0.969383,0.00000000,33.68
2,BPSK 1/2,watterson-moderate,3.0,400,334,0.835000,0.795472,0.868155,0.00000000,117.01
2,BPSK 1/2,watterson-moderate,6.0,400,260,0.650000,0.602032,0.695114,0.00000000,248.21
2,BPSK 1/2,watterson-moderate,9.0,400,212,0.530000,0.481036,0.578393,0.00000000,333.30
