level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-poor,-3.0,400,399,0.997500,0.985977,0.999559,0.00000000,0.88
1,BPSK 1/4,watterson-poor,0.0,400,393,0.982500,0.964323,0.991498,0.00000000,6.15
1,BPSK 1/4,watterson-poor,3.0,400,384,0.960000,0.936018,0.975231,0.00000000,14.07
1,BPSK 1/4,watterson-poor,6.0,400,337,0.842500,0.803565,0.874919,0.00000000,55.38
1,BPSK 1/4,watterson-poor,9.0,400,313,0.782500,0.739487,0.820138,0.00000000,76.48
1,BPSK 1/4,watterson-poor,12.0,400,274,0.685000,0.637901,0.728579,0.00000000,110.77
1,BPSK 1/4,watterson-poor,15.0,400,262,0.655000,0.607139,0.699912,0.00000000,121.32
1,BPSK 1/4,watterson-poor,18.0,400,258,0.645000,0.596930,0.690311,0.00000000,124.84
1,BPSK 1/4,watterson-poor,21.0,400,260,0.650000,0.602032,0.695114,0.00000000,123.08
1,BPSK 1/4,watterson-poor,24.0,400,245,0.612500,0.563903,0.658957,0.00000000,136.26
1,BPSK 1/4,watterson-poor,27.0,400,254,0.635000,0.586744,0.680688,0.00000000,128.35
1,BPSK 1/4,watterson-poor,30.0,400,255,0.637500,0.589289,0.683096,0.00000000,127.47
2,BPSK 1/2,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-poor,-3.0,400,398,0.995000,0.981955,0.998628,0.00000000,3.55
2,BPSK 1/2,watterson-poor,0.0,400,397,0.992500,0.978184,0.997446,0.00000000,5.32
2,BPSK 1/2,watterson-poor,3.0,400,383,0.957500,0.932998,0.973298,0.00000000,30.14
2,BPSK 1/2,watterson-poor,6.0,400,351,0.877500,0.841731,0.906087,0.00000000,86.87
2,BPSK 1/2,watterson-poor,9.0,400,331,0.827500,0.787405,0.861365,0.00000000,122.33
2,BPSK 1/2,watterson-poor,12.0,400,298,0.745000,0.700096,0.785243,0.00000000,180.84
2,BPSK 1/2,watterson-poor,15.0,400,283,0.707500,0.661114,0.749938,0.00000000,207.43
2,BPSK 1/2,watterson-poor,18.0,400,285,0.712500,0.666290,0.754667,0.00000000,203.88
2,BPSK 1/2,watterson-poor,21.0,400,282,0.705000,0.658529,0.747571,0.00000000,209.20
2,BPSK 1/2,watterson-poor,24.0,400,268,0.670000,0.622494,0.714272,0.00000000,234.02
2,BPSK 1/2,watterson-poor,27.0,400,279,0.697500,0.650782,0.740461,0.00000000,214.52
2,BPSK 1/2,watterson-poor,30.0,400,286,0.715000,0.668880,0.757029,0.00000000,202.11
3,QPSK 1/2,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-poor,0.0,400,395,0.987500,0.971076,0.994649,0.00000000,15.37
3,QPSK 1/2,watterson-poor,3.0,400,370,0.925000,0.894952,0.946962,0.00000000,92.19
3,QPSK 1/2,watterson-poor,6.0,400,349,0.872500,0.836235,0.901679,0.00000000,156.72
3,QPSK 1/2,watterson-poor,9.0,400,319,0.797500,0.755374,0.833966,0.00000000,248.91
3,QPSK 1/2,watterson-poor,12.0,400,301,0.752500,0.707939,0.792257,0.00000000,304.23
3,QPSK 1/2,watterson-poor,15.0,400,295,0.737500,0.692268,0.778213,0.00000000,322.67
3,QPSK 1/2,watterson-poor,18.0,400,287,0.717500,0.671472,0.759390,0.00000000,347.25
3,QPSK 1/2,watterson-poor,21.0,400,256,0.640000,0.591834,0.685502,0.00000000,442.51
3,QPSK 1/2,watterson-poor,24.0,400,272,0.680000,0.632760,0.723816,0.00000000,393.35
3,QPSK 1/2,watterson-poor,27.0,400,265,0.662500,0.614810,0.707098,0.00000000,414.86
3,QPSK 1/2,watterson-poor,30.0,400,261,0.652500,0.604585,0.697514,0.00000000,427.15
4,QPSK 3/4,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,3.0,400,396,0.990000,0.974573,0.996105,0.00000000,18.49
4,QPSK 3/4,watterson-poor,6.0,400,393,0.982500,0.964323,0.991498,0.00000000,32.36
4,QPSK 3/4,watterson-poor,9.0,400,367,0.917500,0.886403,0.940654,0.00000000,152.53
4,QPSK 3/4,watterson-poor,12.0,400,370,0.925000,0.894952,0.946962,0.00000000,138.67
4,QPSK 3/4,watterson-poor,15.0,400,360,0.900000,0.866689,0.925701,0.00009812,184.89
4,QPSK 3/4,watterson-poor,18.0,400,359,0.897500,0.863897,0.923541,0.00000000,189.51
4,QPSK 3/4,watterson-poor,21.0,400,339,0.847500,0.808976,0.879413,0.00000000,281.96
4,QPSK 3/4,watterson-poor,24.0,400,348,0.870000,0.833492,0.899469,0.00000000,240.36
4,QPSK 3/4,watterson-poor,27.0,400,336,0.840000,0.800864,0.872667,0.00000000,295.82
4,QPSK 3/4,watterson-poor,30.0,400,328,0.820000,0.779362,0.854550,0.00000000,332.80
5,8PSK 2/3,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-poor,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-poor,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-poor,12.0,400,389,0.972500,0.951435,0.984576,0.00000000,139.76
5,8PSK 2/3,watterson-poor,15.0,400,363,0.907500,0.875101,0.932146,0.00000000,470.12
5,8PSK 2/3,watterson-poor,18.0,400,344,0.860000,0.822561,0.890590,0.00000000,711.53
5,8PSK 2/3,watterson-poor,21.0,400,330,0.825000,0.784721,0.859096,0.00000000,889.41
5,8PSK 2/3,watterson-poor,24.0,400,319,0.797500,0.755374,0.833966,0.00000000,1029.18
5,8PSK 2/3,watterson-poor,27.0,400,277,0.692500,0.645625,0.735713,0.00000000,1562.82
5,8PSK 2/3,watterson-poor,30.0,400,302,0.755000,0.710557,0.794591,0.00000000,1245.18
6,16QAM 1/2,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-poor,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-poor,9.0,400,398,0.995000,0.981955,0.998628,0.00000000,22.78
6,16QAM 1/2,watterson-poor,12.0,400,391,0.977500,0.957797,0.988118,0.00000000,102.49
6,16QAM 1/2,watterson-poor,15.0,400,375,0.937500,0.909366,0.957311,0.00000000,284.71
6,16QAM 1/2,watterson-poor,18.0,400,356,0.890000,0.855549,0.917031,0.00000000,501.08
6,16QAM 1/2,watterson-poor,21.0,400,323,0.807500,0.766011,0.843139,0.00000000,876.89
6,16QAM 1/2,watterson-poor,24.0,400,314,0.785000,0.742129,0.822449,0.00000000,979.39
6,16QAM 1/2,watterson-poor,27.0,400,288,0.720000,0.674066,0.761749,0.00000000,1275.48
6,16QAM 1/2,watterson-poor,30.0,400,296,0.740000,0.694876,0.780558,0.00000000,1184.38
7,16QAM 3/4,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-poor,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-poor,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-poor,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-poor,15.0,400,397,0.992500,0.978184,0.997446,0.00000000,51.39
7,16QAM 3/4,watterson-poor,18.0,400,394,0.985000,0.967665,0.993108,0.00000000,102.78
7,16QAM 3/4,watterson-poor,21.0,400,389,0.972500,0.951435,0.984576,0.00000000,188.42
7,16QAM 3/4,watterson-poor,24.0,400,381,0.952500,0.927008,0.969383,0.00013736,325.46
7,16QAM 3/4,watterson-poor,27.0,400,372,0.930000,0.900691,0.951128,0.00000000,479.62
7,16QAM 3/4,watterson-poor,30.0,400,377,0.942500,0.915199,0.961382,0.00000000,393.98
9,64QAM 2/3,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-poor,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-poor,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-poor,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-poor,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-poor,18.0,400,399,0.997500,0.985977,0.999559,0.00000000,16.94
9,64QAM 2/3,watterson-poor,21.0,400,399,0.997500,0.985977,0.999559,0.00000000,16.94
9,64QAM 2/3,watterson-poor,24.0,400,397,0.992500,0.978184,0.997446,0.00000000,50.82
9,64QAM 2/3,watterson-poor,27.0,400,399,0.997500,0.985977,0.999559,0.00000000,16.94
9,64QAM 2/3,watterson-poor,30.0,400,397,0.992500,0.978184,0.997446,0.00000000,50.82
10,64QAM 7/8,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,18.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,21.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,24.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,27.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-poor,30.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
