level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-moderate,-3.0,400,399,0.997500,0.985977,0.999559,0.00000000,0.88
1,BPSK 1/4,watterson-moderate,0.0,400,379,0.947500,0.921078,0.965408,0.00000000,18.46
1,BPSK 1/4,watterson-moderate,3.0,400,317,0.792500,0.750069,0.829366,0.00000000,72.97
1,BPSK 1/4,watterson-moderate,6.0,400,198,0.495000,0.446284,0.543811,0.00000000,177.58
1,BPSK 1/4,watterson-moderate,9.0,400,120,0.300000,0.257168,0.346637,0.00000000,246.15
1,BPSK 1/4,watterson-moderate,12.0,400,70,0.175000,0.140904,0.215279,0.00000000,290.11
1,BPSK 1/4,watterson-moderate,15.0,400,47,0.117500,0.089522,0.152755,0.00000000,310.33
1,BPSK 1/4,watterson-moderate,18.0,400,20,0.050000,0.032597,0.075964,0.00000000,334.07
1,BPSK 1/4,watterson-moderate,21.0,400,18,0.045000,0.028651,0.070005,0.00000000,335.82
1,BPSK 1/4,watterson-moderate,24.0,400,16,0.040000,0.024769,0.063982,0.00000000,337.58
1,BPSK 1/4,watterson-moderate,27.0,400,12,0.030000,0.017243,0.051699,0.00000000,341.10
1,BPSK 1/4,watterson-moderate,30.0,400,15,0.037500,0.022855,0.060944,0.00000000,338.46
2,BPSK 1/2,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-moderate,-3.0,400,398,0.995000,0.981955,0.998628,0.00000000,3.55
2,BPSK 1/2,watterson-moderate,0.0,400,375,0.937500,0.909366,0.957311,0.00000000,44.32
2,BPSK 1/2,watterson-moderate,3.0,400,303,0.757500,0.713178,0.796924,0.00000000,171.97
2,BPSK 1/2,watterson-moderate,6.0,400,187,0.467500,0.419146,0.516473,0.00000000,377.63
2,BPSK 1/2,watterson-moderate,9.0,400,115,0.287500,0.245333,0.333710,0.00000000,505.27
