level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-poor,0.0,400,389,0.972500,0.951435,0.984576,0.00000000,9.67
1,BPSK 1/4,watterson-poor,3.0,400,362,0.905000,0.872292,0.930003,0.00000000,33.41
1,BPSK 1/4,watterson-poor,6.0,400,286,0.715000,0.668880,0.757029,0.00000000,100.22
1,BPSK 1/4,watterson-poor,9.0,400,233,0.582500,0.533612,0.629819,0.00000000,146.81
1,BPSK 1/4,watterson-poor,12.0,400,178,0.445000,0.397051,0.493996,0.00000000,195.16
1,BPSK 1/4,watterson-poor,15.0,400,163,0.407500,0.360448,0.456312,0.00000000,208.35
1,BPSK 1/4,watterson-poor,18.0,400,149,0.372500,0.326544,0.420882,0.00000000,220.66
1,BPSK 1/4,watterson-poor,21.0,400,162,0.405000,0.358018,0.453789,0.00000000,209.23
1,BPSK 1/4,watterson-poor,24.0,400,141,0.352500,0.307287,0.400519,0.00000000,227.69
1,BPSK 1/4,watterson-poor,27.0,400,135,0.337500,0.292902,0.385190,0.00000000,232.97
1,BPSK 1/4,watterson-poor,30.0,400,147,0.367500,0.321721,0.415799,0.00000000,222.42
2,BPSK 1/2,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-poor,-3.0,400,398,0.995000,0.981955,0.998628,0.00000000,3.55
2,BPSK 1/2,watterson-poor,0.0,400,395,0.987500,0.971076,0.994649,0.00000000,8.86
2,BPSK 1/2,watterson-poor,3.0,400,374,0.935000,0.906465,0.955260,0.00000000,46.10
2,BPSK 1/2,watterson-poor,6.0,400,316,0.790000,0.747421,0.827062,0.00000000,148.92
2,BPSK 1/2,watterson-poor,9.0,400,257,0.642500,0.594382,0.687907,0.00000000,253.52
2,BPSK 1/2,watterson-poor,12.0,400,201,0.502500,0.453711,0.551241,0.00000000,352.81
2,BPSK 1/2,watterson-poor,15.0,400,195,0.487500,0.438869,0.536369,0.00000000,363.44
2,BPSK 1/2,watterson-poor,18.0,400,172,0.430000,0.382376,0.478956,0.00000000,404.22
2,BPSK 1/2,watterson-poor,21.0,400,185,0.462500,0.414227,0.511486,0.00000000,381.17
2,BPSK 1/2,watterson-poor,24.0,400,174,0.435000,0.387263,0.483974,0.00000000,400.67
2,BPSK 1/2,watterson-poor,27.0,400,173,0.432500,0.384819,0.481465,0.00000000,402.45
2,BPSK 1/2,watterson-poor,30.0,400,177,0.442500,0.394602,0.491492,0.00000000,395.36
3,QPSK 1/2,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-poor,0.0,400,391,0.977500,0.957797,0.988118,0.00000000,27.66
3,QPSK 1/2,watterson-poor,3.0,400,360,0.900000,0.866689,0.925701,0.00000000,122.92
3,QPSK 1/2,watterson-poor,6.0,400,314,0.785000,0.742129,0.822449,0.00000000,264.28
3,QPSK 1/2,watterson-poor,9.0,400,264,0.660000,0.612252,0.704704,0.00000000,417.93
3,QPSK 1/2,watterson-poor,12.0,400,217,0.542500,0.493505,0.590686,0.00000000,562.36
3,QPSK 1/2,watterson-poor,15.0,400,201,0.502500,0.453711,0.551241,0.00000000,611.53
3,QPSK 1/2,watterson-poor,18.0,400,178,0.445000,0.397051,0.493996,0.00000000,682.21
3,QPSK 1/2,watterson-poor,21.0,400,173,0.432500,0.384819,0.481465,0.00000000,697.57
3,QPSK 1/2,watterson-poor,24.0,400,173,0.432500,0.384819,0.481465,0.00000000,697.57
3,QPSK 1/2,watterson-poor,27.0,400,160,0.400000,0.353162,0.448741,0.00000000,737.52
3,QPSK 1/2,watterson-poor,30.0,400,179,0.447500,0.399501,0.496498,0.00000000,679.14
4,QPSK 3/4,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,3.0,400,394,0.985000,0.967665,0.993108,0.00000000,27.73
4,QPSK 3/4,watterson-poor,6.0,400,386,0.965000,0.942115,0.979039,0.00000000,64.71
4,QPSK 3/4,watterson-poor,9.0,400,353,0.882500,0.847245,0.910478,0.00000000,217.24
4,QPSK 3/4,watterson-poor,12.0,400,334,0.835000,0.795472,0.868155,0.00000000,305.07
4,QPSK 3/4,watterson-poor,15.0,400,324,0.810000,0.768676,0.845426,0.00005283,351.29
4,QPSK 3/4,watterson-poor,18.0,400,319,0.797500,0.755374,0.833966,0.00000000,374.40
4,QPSK 3/4,watterson-poor,21.0,400,280,0.700000,0.653363,0.742832,0.00000000,554.67
4,QPSK 3/4,watterson-poor,24.0,400,299,0.747500,0.702708,0.787583,0.00000000,466.84
4,QPSK 3/4,watterson-poor,27.0,400,283,0.707500,0.661114,0.749938,0.00000000,540.80
4,QPSK 3/4,watterson-poor,30.0,400,287,0.717500,0.671472,0.759390,0.00000000,522.31
