level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,15.0,400,388,0.970000,0.948301,0.982757,0.00000000,10.55
1,BPSK 1/4,awgn,18.0,400,94,0.235000,0.196091,0.278951,0.00000000,269.01
1,BPSK 1/4,awgn,21.0,400,1,0.002500,0.000441,0.014023,0.00000000,350.77
1,BPSK 1/4,awgn,24.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,27.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,30.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
2,BPSK 1/2,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,18.0,400,105,0.262500,0.221787,0.307732,0.00000000,523.00
2,BPSK 1/2,awgn,21.0,400,1,0.002500,0.000441,0.014023,0.00000000,707.38
2,BPSK 1/2,awgn,24.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,27.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,30.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
3,QPSK 1/2,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,18.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,21.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
