level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-moderate,6.0,400,384,0.960000,0.936018,0.975231,0.00000000,14.07
1,BPSK 1/4,watterson-moderate,9.0,400,302,0.755000,0.710557,0.794591,0.00000000,86.15
1,BPSK 1/4,watterson-moderate,12.0,400,161,0.402500,0.355589,0.451266,0.00000000,210.11
1,BPSK 1/4,watterson-moderate,15.0,400,99,0.247500,0.207743,0.292061,0.00000000,264.62
1,BPSK 1/4,watterson-moderate,18.0,400,34,0.085000,0.061463,0.116432,0.00000000,321.76
1,BPSK 1/4,watterson-moderate,21.0,400,23,0.057500,0.038618,0.084801,0.00000000,331.43
1,BPSK 1/4,watterson-moderate,24.0,400,21,0.052500,0.034592,0.078922,0.00000000,333.19
1,BPSK 1/4,watterson-moderate,27.0,400,6,0.015000,0.006892,0.032335,0.00000000,346.37
1,BPSK 1/4,watterson-moderate,30.0,400,23,0.057500,0.038618,0.084801,0.00000000,331.43
2,BPSK 1/2,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-moderate,6.0,400,385,0.962500,0.939056,0.977145,0.00000000,26.59
2,BPSK 1/2,watterson-moderate,9.0,400,301,0.752500,0.707939,0.792257,0.00000000,175.52
2,BPSK 1/2,watterson-moderate,12.0,400,165,0.412500,0.365312,0.461353,0.00000000,416.63
2,BPSK 1/2,watterson-moderate,15.0,400,100,0.250000,0.210079,0.294677,0.00000000,531.87
2,BPSK 1/2,watterson-moderate,18.0,400,35,0.087500,0.063587,0.119261,0.00000000,647.11
2,BPSK 1/2,watterson-moderate,21.0,400,27,0.067500,0.046801,0.096427,0.00000000,661.29
2,BPSK 1/2,watterson-moderate,24.0,400,21,0.052500,0.034592,0.078922,0.00000000,671.93
2,BPSK 1/2,watterson-moderate,27.0,400,12,0.030000,0.017243,0.051699,0.00000000,687.88
2,BPSK 1/2,watterson-moderate,30.0,400,14,0.035000,0.020961,0.057885,0.00000000,684.34
3,QPSK 1/2,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-moderate,3.0,400,399,0.997500,0.985977,0.999559,0.00000000,3.07
3,QPSK 1/2,watterson-moderate,6.0,400,382,0.955000,0.929995,0.971349,0.00000000,55.31
3,QPSK 1/2,watterson-moderate,9.0,400,287,0.717500,0.671472,0.759390,0.00000000,347.25
3,QPSK 1/2,watterson-moderate,12.0,400,158,0.395000,0.348310,0.443687,0.00000000,743.67
3,QPSK 1/2,watterson-moderate,15.0,400,74,0.185000,0.150007,0.225986,0.00000000,1001.80
3,QPSK 1/2,watterson-moderate,18.0,400,37,0.092500,0.067854,0.124899,0.00000000,1115.50
3,QPSK 1/2,watterson-moderate,21.0,400,22,0.055000,0.036598,0.081867,0.00000000,1161.60
3,QPSK 1/2,watterson-moderate,24.0,400,13,0.032500,0.019090,0.054804,0.00000000,1189.26
3,QPSK 1/2,watterson-moderate,27.0,400,14,0.035000,0.020961,0.057885,0.00000000,1186.18
3,QPSK 1/2,watterson-moderate,30.0,400,16,0.040000,0.024769,0.063982,0.00000000,1180.04
4,QPSK 3/4,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-moderate,3.0,400,399,0.997500,0.985977,0.999559,0.00000000,4.62
4,QPSK 3/4,watterson-moderate,6.0,400,389,0.972500,0.951435,0.984576,0.00000000,50.84
4,QPSK 3/4,watterson-moderate,9.0,400,324,0.810000,0.768676,0.845426,0.00000000,351.29
