level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-poor,6.0,400,389,0.972500,0.951435,0.984576,0.00000000,9.67
1,BPSK 1/4,watterson-poor,9.0,400,326,0.815000,0.774014,0.849993,0.00000000,65.05
1,BPSK 1/4,watterson-poor,12.0,400,231,0.577500,0.528581,0.624945,0.00000000,148.57
1,BPSK 1/4,watterson-poor,15.0,400,167,0.417500,0.370181,0.466388,0.00000000,204.84
1,BPSK 1/4,watterson-poor,18.0,400,123,0.307500,0.264287,0.354375,0.00000000,243.52
1,BPSK 1/4,watterson-poor,21.0,400,106,0.265000,0.224134,0.310337,0.00000000,258.46
1,BPSK 1/4,watterson-poor,24.0,400,98,0.245000,0.205409,0.289443,0.00000000,265.49
1,BPSK 1/4,watterson-poor,27.0,400,111,0.277500,0.235894,0.323339,0.00000000,254.07
1,BPSK 1/4,watterson-poor,30.0,400,114,0.285000,0.242971,0.331120,0.00000000,251.43
2,BPSK 1/2,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-poor,6.0,400,393,0.982500,0.964323,0.991498,0.00000000,12.41
2,BPSK 1/2,watterson-poor,9.0,400,347,0.867500,0.830754,0.897255,0.00000000,93.96
2,BPSK 1/2,watterson-poor,12.0,400,272,0.680000,0.632760,0.723816,0.00000000,226.93
2,BPSK 1/2,watterson-poor,15.0,400,226,0.565000,0.516026,0.612737,0.00000000,308.48
2,BPSK 1/2,watterson-poor,18.0,400,191,0.477500,0.428997,0.526431,0.00000000,370.53
2,BPSK 1/2,watterson-poor,21.0,400,175,0.437500,0.389708,0.486481,0.00000000,398.90
2,BPSK 1/2,watterson-poor,24.0,400,168,0.420000,0.372618,0.468904,0.00000000,411.31
2,BPSK 1/2,watterson-poor,27.0,400,164,0.410000,0.362879,0.458833,0.00000000,418.40
2,BPSK 1/2,watterson-poor,30.0,400,180,0.450000,0.401952,0.498999,0.00000000,390.04
3,QPSK 1/2,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-poor,6.0,400,392,0.980000,0.961037,0.989832,0.00000000,24.58
3,QPSK 1/2,watterson-poor,9.0,400,333,0.832500,0.792780,0.865894,0.00000000,205.89
3,QPSK 1/2,watterson-poor,12.0,400,256,0.640000,0.591834,0.685502,0.00000000,442.51
3,QPSK 1/2,watterson-poor,15.0,400,207,0.517500,0.468598,0.566069,0.00000000,593.09
3,QPSK 1/2,watterson-poor,18.0,400,172,0.430000,0.382376,0.478956,0.00000000,700.65
3,QPSK 1/2,watterson-poor,21.0,400,175,0.437500,0.389708,0.486481,0.00000000,691.43
3,QPSK 1/2,watterson-poor,24.0,400,169,0.422500,0.375055,0.471419,0.00000000,709.87
3,QPSK 1/2,watterson-poor,27.0,400,136,0.340000,0.295296,0.387748,0.00000000,811.28
3,QPSK 1/2,watterson-poor,30.0,400,166,0.415000,0.367746,0.463871,0.00000000,719.09
4,QPSK 3/4,watterson-poor,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-poor,6.0,400,395,0.987500,0.971076,0.994649,0.00000000,23.11
4,QPSK 3/4,watterson-poor,9.0,400,363,0.907500,0.875101,0.932146,0.00000000,171.02
4,QPSK 3/4,watterson-poor,12.0,400,307,0.767500,0.723677,0.806234,0.00000000,429.87
4,QPSK 3/4,watterson-poor,15.0,400,290,0.725000,0.679258,0.766461,0.00000000,508.44
4,QPSK 3/4,watterson-poor,18.0,400,272,0.680000,0.632760,0.723816,0.00000000,591.64
4,QPSK 3/4,watterson-poor,21.0,400,247,0.617500,0.568969,0.663795,0.00000000,707.20
4,QPSK 3/4,watterson-poor,24.0,400,240,0.600000,0.551259,0.646838,0.00000000,739.56
4,QPSK 3/4,watterson-poor,27.0,400,233,0.582500,0.533612,0.629819,0.00000000,771.91
4,QPSK 3/4,watterson-poor,30.0,400,242,0.605000,0.556313,0.651690,0.00000000,730.31
