level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps,sync_failed,header_corrupt,ldpc_not_converged,crc_mismatch,wrong_payload
1,BPSK 1/4,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,328.21,0,0,0,0,0
2,BPSK 1/2,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,685.71,0,0,0,0,0
2,BPSK 1/2,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,685.71,0,0,0,0,0
2,BPSK 1/2,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,685.71,0,0,0,0,0
3,QPSK 1/2,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,1188.57,0,0,0,0,0
3,QPSK 1/2,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,1188.57,0,0,0,0,0
3,QPSK 1/2,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,1188.57,0,0,0,0,0
4,QPSK 3/4,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,1808.25,0,0,0,0,0
4,QPSK 3/4,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,1808.25,0,0,0,0,0
4,QPSK 3/4,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,1808.25,0,0,0,0,0
5,8PSK 2/3,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,2188.74,0,0,0,0,0
5,8PSK 2/3,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,2188.74,0,0,0,0,0
5,8PSK 2/3,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,2188.74,0,0,0,0,0
6,16QAM 1/2,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,1876.69,0,0,0,0,0
6,16QAM 1/2,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,1876.69,0,0,0,0,0
6,16QAM 1/2,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,1876.69,0,0,0,0,0
7,16QAM 3/4,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,2855.14,0,0,0,0,0
7,16QAM 3/4,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,2855.14,0,0,0,0,0
7,16QAM 3/4,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,2855.14,0,0,0,0,0
9,64QAM 2/3,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,3210.16,0,0,0,0,0
9,64QAM 2/3,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,3210.16,0,0,0,0,0
9,64QAM 2/3,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,3210.16,0,0,0,0,0
10,64QAM 5/6,awgn,30.0,10,0,0.000000,0.000000,0.277533,0.00000000,4022.86,0,0,0,0,0
10,64QAM 5/6,awgn,45.0,10,0,0.000000,0.000000,0.277533,0.00000000,4022.86,0,0,0,0,0
10,64QAM 5/6,awgn,60.0,10,0,0.000000,0.000000,0.277533,0.00000000,4022.86,0,0,0,0,0
