level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps,sync_failed,header_corrupt,ldpc_not_converged,crc_mismatch,wrong_payload
1,BPSK 1/4,watterson-moderate,6.0,50,11,0.220000,0.127539,0.352415,0.00000000,256.00,11,0,0,0,0
1,BPSK 1/4,watterson-moderate,12.0,50,6,0.120000,0.056176,0.238048,0.00000000,288.82,6,0,0,0,0
1,BPSK 1/4,watterson-moderate,18.0,50,1,0.020000,0.003539,0.104954,0.00000000,321.64,1,0,0,0,0
1,BPSK 1/4,watterson-moderate,24.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,watterson-moderate,30.0,50,2,0.040000,0.011039,0.134601,0.00000000,315.08,1,0,1,0,0
2,BPSK 1/2,watterson-moderate,6.0,50,15,0.300000,0.191036,0.437504,0.00000000,480.00,11,0,4,0,0
2,BPSK 1/2,watterson-moderate,12.0,50,9,0.180000,0.097702,0.307961,0.00000000,562.29,6,0,3,0,0
2,BPSK 1/2,watterson-moderate,18.0,50,4,0.080000,0.031550,0.188382,0.00000000,630.86,0,0,4,0,0
2,BPSK 1/2,watterson-moderate,24.0,50,3,0.060000,0.020615,0.162171,0.00000000,644.57,0,0,3,0,0
2,BPSK 1/2,watterson-moderate,30.0,50,4,0.080000,0.031550,0.188382,0.00000000,630.86,1,0,3,0,0
3,QPSK 1/2,watterson-moderate,6.0,50,28,0.560000,0.423060,0.688378,0.00000000,522.97,12,0,16,0,0
3,QPSK 1/2,watterson-moderate,12.0,50,21,0.420000,0.293750,0.557666,0.00000000,689.37,4,0,17,0,0
3,QPSK 1/2,watterson-moderate,18.0,50,6,0.120000,0.056176,0.238048,0.00000000,1045.94,0,0,6,0,0
3,QPSK 1/2,watterson-moderate,24.0,50,8,0.160000,0.083374,0.285142,0.00000000,998.40,2,0,6,0,0
3,QPSK 1/2,watterson-moderate,30.0,50,7,0.140000,0.069508,0.261862,0.00000000,1022.17,1,0,6,0,0
4,QPSK 3/4,watterson-moderate,6.0,50,43,0.860000,0.738138,0.930492,0.00000000,253.16,10,0,33,0,0
4,QPSK 3/4,watterson-moderate,12.0,50,32,0.640000,0.501410,0.758613,0.00000000,650.97,3,0,29,0,0
4,QPSK 3/4,watterson-moderate,18.0,50,17,0.340000,0.224369,0.478462,0.00000000,1193.45,0,0,17,0,0
4,QPSK 3/4,watterson-moderate,24.0,50,21,0.420000,0.293750,0.557666,0.00000000,1048.79,2,0,19,0,0
4,QPSK 3/4,watterson-moderate,30.0,50,21,0.420000,0.293750,0.557666,0.00000000,1048.79,1,0,20,0,0
5,8PSK 2/3,watterson-moderate,6.0,50,47,0.940000,0.837829,0.979385,0.00000000,131.32,7,0,40,0,0
5,8PSK 2/3,watterson-moderate,12.0,50,39,0.780000,0.647585,0.872461,0.00000000,481.52,1,0,38,0,0
5,8PSK 2/3,watterson-moderate,18.0,50,36,0.720000,0.583349,0.825258,0.00000000,612.85,0,0,36,0,0
5,8PSK 2/3,watterson-moderate,24.0,50,26,0.520000,0.385117,0.652029,0.00000000,1050.60,0,0,26,0,0
5,8PSK 2/3,watterson-moderate,30.0,50,37,0.740000,0.604468,0.841285,0.00000000,569.07,0,0,37,0,0
6,16QAM 1/2,watterson-moderate,6.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,12,0,38,0,0
6,16QAM 1/2,watterson-moderate,12.0,50,39,0.780000,0.647585,0.872461,0.00000000,412.87,1,0,38,0,0
6,16QAM 1/2,watterson-moderate,18.0,50,30,0.600000,0.461814,0.723916,0.00000000,750.68,0,0,30,0,0
6,16QAM 1/2,watterson-moderate,24.0,50,28,0.560000,0.423060,0.688378,0.00000000,825.74,0,0,28,0,0
6,16QAM 1/2,watterson-moderate,30.0,50,31,0.620000,0.481504,0.741372,0.00000000,713.14,0,0,30,1,0
7,16QAM 3/4,watterson-moderate,6.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,12,0,38,0,0
7,16QAM 3/4,watterson-moderate,12.0,50,48,0.960000,0.865399,0.988961,0.00000000,114.21,1,0,47,0,0
7,16QAM 3/4,watterson-moderate,18.0,50,46,0.920000,0.811618,0.968450,0.00000000,228.41,0,0,46,0,0
7,16QAM 3/4,watterson-moderate,24.0,50,43,0.860000,0.738138,0.930492,0.00000000,399.72,1,0,42,0,0
7,16QAM 3/4,watterson-moderate,30.0,50,42,0.840000,0.714858,0.916626,0.00000000,456.82,0,0,42,0,0
9,64QAM 2/3,watterson-moderate,6.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,15,0,35,0,0
9,64QAM 2/3,watterson-moderate,12.0,50,49,0.980000,0.895046,0.996461,0.00000000,64.20,5,0,44,0,0
9,64QAM 2/3,watterson-moderate,18.0,50,47,0.940000,0.837829,0.979385,0.00000000,192.61,1,0,46,0,0
9,64QAM 2/3,watterson-moderate,24.0,50,48,0.960000,0.865399,0.988961,0.00000000,128.41,0,0,48,0,0
9,64QAM 2/3,watterson-moderate,30.0,50,49,0.980000,0.895046,0.996461,0.00000000,64.20,0,0,49,0,0
10,64QAM 5/6,watterson-moderate,6.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,17,0,33,0,0
10,64QAM 5/6,watterson-moderate,12.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,4,0,46,0,0
10,64QAM 5/6,watterson-moderate,18.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,1,0,49,0,0
10,64QAM 5/6,watterson-moderate,24.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,0,0,50,0,0
10,64QAM 5/6,watterson-moderate,30.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,0,0,50,0,0
