level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps,sync_failed,header_corrupt,ldpc_not_converged,crc_mismatch,wrong_payload
1,BPSK 1/4,watterson-poor,6.0,50,18,0.360000,0.241387,0.498590,0.00000000,210.05,16,0,2,0,0
1,BPSK 1/4,watterson-poor,12.0,50,7,0.140000,0.069508,0.261862,0.00000000,282.26,6,0,1,0,0
1,BPSK 1/4,watterson-poor,18.0,50,3,0.060000,0.020615,0.162171,0.00000000,308.51,3,0,0,0,0
1,BPSK 1/4,watterson-poor,24.0,50,9,0.180000,0.097702,0.307961,0.00000000,269.13,1,0,8,0,0
1,BPSK 1/4,watterson-poor,30.0,50,4,0.080000,0.031550,0.188382,0.00000000,301.95,2,0,2,0,0
2,BPSK 1/2,watterson-poor,6.0,50,28,0.560000,0.423060,0.688378,0.00000000,301.71,15,0,13,0,0
2,BPSK 1/2,watterson-poor,12.0,50,20,0.400000,0.276084,0.538186,0.00000000,411.43,6,0,14,0,0
2,BPSK 1/2,watterson-poor,18.0,50,15,0.300000,0.191036,0.437504,0.00000000,480.00,2,0,13,0,0
2,BPSK 1/2,watterson-poor,24.0,50,16,0.320000,0.207582,0.458103,0.00000000,466.29,1,0,15,0,0
2,BPSK 1/2,watterson-poor,30.0,50,9,0.180000,0.097702,0.307961,0.00000000,562.29,2,0,7,0,0
3,QPSK 1/2,watterson-poor,6.0,50,30,0.600000,0.461814,0.723916,0.00000000,475.43,12,0,18,0,0
3,QPSK 1/2,watterson-poor,12.0,50,23,0.460000,0.329697,0.596011,0.00000000,641.83,6,0,17,0,0
3,QPSK 1/2,watterson-poor,18.0,50,14,0.280000,0.174742,0.416651,0.00000000,855.77,4,0,10,0,0
3,QPSK 1/2,watterson-poor,24.0,50,13,0.260000,0.158715,0.395532,0.00000000,879.54,1,0,12,0,0
3,QPSK 1/2,watterson-poor,30.0,50,12,0.240000,0.142974,0.374127,0.00000000,903.31,1,0,11,0,0
4,QPSK 3/4,watterson-poor,6.0,50,47,0.940000,0.837829,0.979385,0.00000000,108.50,14,0,33,0,0
